iter	Passed	Remaining
712	2280	917
713	2298	920
714	2300	916
715	2303	913
716	2305	909
717	2307	906
718	2310	902
719	2312	899
720	2316	896
721	2332	898
722	2343	897
723	2353	897
724	2356	893
725	2358	890
726	2361	886
727	2363	882
728	2365	879
729	2368	875
730	2370	872
731	2373	868
732	2375	865
733	2378	861
734	2380	858
735	2383	854
736	2385	851
737	2388	847
738	2390	844
739	2393	840
740	2395	837
741	2397	833
742	2400	830
743	2402	826
744	2404	823
745	2407	819
746	2409	816
747	2411	812
748	2414	809
749	2416	805
750	2418	802
751	2421	798
752	2424	795
753	2426	791
754	2428	788
755	2431	784
756	2433	781
757	2435	777
758	2438	774
759	2441	770
760	2443	767
761	2446	764
762	2448	760
763	2450	757
764	2453	753
765	2455	750
766	2457	746
767	2460	743
768	2463	739
769	2466	736
770	2468	733
771	2471	729
772	2473	726
773	2476	723
774	2478	719
775	2481	716
776	2483	712
777	2486	709
778	2488	705
779	2490	702
780	2493	699
781	2495	695
782	2498	692
783	2501	689
784	2503	685
785	2506	682
786	2524	683
787	2538	682
788	2545	680
789	2553	678
790	2567	678
791	2569	674
792	2572	671
793	2575	668
794	2577	664
795	2580	661
796	2582	657
797	2585	654
798	2587	650
799	2590	647
800	2592	644
801	2594	640
802	2597	637
803	2599	633
804	2601	630
805	2604	626
806	2606	623
807	2608	619
808	2611	616
809	2613	613
810	2616	609
811	2618	606
812	2620	602
813	2623	599
814	2625	596
815	2628	592
816	2630	589
817	2632	585
818	2635	582
819	2637	579
820	2640	575
821	2642	572
822	2645	568
823	2647	565
824	2649	562
825	2652	558
826	2654	555
827	2657	551
828	2659	548
829	2662	545
830	2664	541
831	2666	538
832	2669	535
833	2671	531
834	2674	528
835	2676	525
836	2679	521
837	2681	518
838	2684	515
839	2687	511
840	2689	508
841	2707	507
842	2709	504
843	2712	501
844	2714	497
845	2717	494
846	2720	491
847	2722	488
848	2725	484
849	2728	481
850	2731	478
851	2734	474
852	2736	471
853	2738	468
854	2741	464
855	2743	461
856	2746	458
857	2748	454
858	2751	451
859	2753	448
860	2756	444
861	2758	441
862	2761	438
863	2764	435
864	2766	431
865	2768	428
866	2770	425
867	2772	421
868	2775	418
869	2777	415
870	2780	411
871	2782	408
872	2784	405
873	2787	401
874	2805	400
875	2807	397
876	2810	394
877	2812	390
878	2815	387
879	2817	384
880	2819	380
881	2822	377
882	2825	374
883	2827	371
884	2829	367
885	2832	364
886	2834	361
887	2836	357
888	2839	354
889	2842	351
890	2844	347
891	2847	344
892	2849	341
893	2852	338
